Units of Measure,Arithmetic Mean,1st Max Value,1st Max Hour,State Name,CBSA Name
Knots,2.941667,5.8,17,Iowa,"Waterloo-Cedar Falls, IA"
Knots,0.941667,3,6,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.891667,3.6,22,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.445833,3.6,20,Iowa,"Waterloo-Cedar Falls, IA"
Knots,0.908333,2.8,1,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.145833,3.8,12,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.995833,3.1,13,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.595833,3.6,11,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.233333,4.3,23,Iowa,"Waterloo-Cedar Falls, IA"
Knots,3.445833,5,1,Iowa,"Waterloo-Cedar Falls, IA"
Knots,3.329167,5.7,3,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.875,4.3,12,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.116667,2.5,15,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.666667,6.1,13,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.625,6.9,23,Iowa,"Waterloo-Cedar Falls, IA"
Knots,6.091667,8.9,5,Iowa,"Waterloo-Cedar Falls, IA"
Knots,3.65,5.9,11,Iowa,"Waterloo-Cedar Falls, IA"
Knots,3.5,6.8,11,Iowa,"Waterloo-Cedar Falls, IA"
Knots,5.333333,13.5,16,Iowa,"Waterloo-Cedar Falls, IA"
Knots,3.908333,6.5,16,Iowa,"Waterloo-Cedar Falls, IA"
Knots,7.525,10.4,22,Iowa,"Waterloo-Cedar Falls, IA"
Knots,4.2625,10,0,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.879167,3.6,11,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.4875,6.4,10,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.9625,6.4,23,Iowa,"Waterloo-Cedar Falls, IA"
Knots,4.633333,6.6,10,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.004167,4.9,15,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.5125,3,11,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.825,4.8,14,Iowa,"Waterloo-Cedar Falls, IA"
Knots,3.775,4.7,4,Iowa,"Waterloo-Cedar Falls, IA"
Knots,6.175,8.5,15,Iowa,"Waterloo-Cedar Falls, IA"
Knots,5.883333,7.7,14,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.645833,2.4,0,Iowa,"Waterloo-Cedar Falls, IA"
Knots,3.5875,4.9,20,Iowa,"Waterloo-Cedar Falls, IA"
Knots,6.75,12.3,16,Iowa,"Waterloo-Cedar Falls, IA"
Knots,6.441667,9.6,14,Iowa,"Waterloo-Cedar Falls, IA"
Knots,5.329167,7.3,16,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.791667,4.9,9,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.829167,4.2,16,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.783333,4.4,14,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.120833,4.2,15,Iowa,"Waterloo-Cedar Falls, IA"
Knots,4.783333,6,1,Iowa,"Waterloo-Cedar Falls, IA"
Knots,5.629167,8.3,13,Iowa,"Waterloo-Cedar Falls, IA"
Knots,6.45,10.2,14,Iowa,"Waterloo-Cedar Falls, IA"
Knots,6.695833,8,13,Iowa,"Waterloo-Cedar Falls, IA"
Knots,4.9125,6.6,14,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.025,4.7,0,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.1125,3.1,12,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.691667,5.6,16,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.695833,4.1,15,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.420833,3,16,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.708333,4.6,20,Iowa,"Waterloo-Cedar Falls, IA"
Knots,4.841667,8.1,15,Iowa,"Waterloo-Cedar Falls, IA"
Knots,3.5625,5.7,2,Iowa,"Waterloo-Cedar Falls, IA"
Knots,5.791667,9.7,10,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.641667,5.1,15,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.6375,5.2,10,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.65,4,10,Iowa,"Waterloo-Cedar Falls, IA"
Knots,5.379167,10.6,14,Iowa,"Waterloo-Cedar Falls, IA"
Knots,2.570833,6.9,10,Iowa,"Waterloo-Cedar Falls, IA"
Knots,3.15,5.7,13,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.483333,3.5,13,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.595833,3.7,10,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.05,2.2,10,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.379167,3,13,Iowa,"Waterloo-Cedar Falls, IA"
Knots,3.308333,4.8,12,Iowa,"Waterloo-Cedar Falls, IA"
Knots,1.475,2.6,0,Iowa,"Waterloo-Cedar Falls, IA"
