age,sex,sexornt,agekdbrn,natdrug,grass,happy,hapmar,socbar,polhitok,hunt,fejobaff,discaffm,discaffw,fehire,inttech,meovrwrk,hapunhap,theism,fatalism,godmeans,nihilism,egomeans,evidu,idu30,evcrack,crack30,race,uscitzn,fucitzn,cohort,realinc,realrinc
43,MALE,NA,NA,TOO LITTLE,NA,PRETTY HAPPY,NA,ONCE A MONTH,NA,NEITHER,STRONGLY AGAINST,SOMEWHAT UNLIKELY,NA,NA,Moderately interested,AGREE,FAIRLY HAPPY,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE,STRONGLY DISAGREE,DISAGREE,NA,NA,NA,NA,WHITE,NA,NA,1975,NA,NA
74,FEMALE,Heterosexual or straight,21,NA,NOT LEGAL,VERY HAPPY,NA,NA,NO,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1944,14755,NA
42,MALE,Heterosexual or straight,35,TOO LITTLE,LEGAL,VERY HAPPY,VERY HAPPY,ONCE A YEAR,NO,NA,AGAINST,SOMEWHAT UNLIKELY,NA,NA,Very interested,DISAGREE,VERY HAPPY,NEITHER AGREE NOR DISAGREE,DISAGREE,DISAGREE,STRONGLY DISAGREE,NEITHER AGREE NOR DISAGREE,NO,NA,NO,NA,WHITE,NA,NA,1976,72640,45400
63,FEMALE,Heterosexual or straight,32,NA,NOT LEGAL,VERY HAPPY,VERY HAPPY,ONCE A YEAR,YES,NA,NA,NA,SOMEWHAT UNLIKELY,AGREE,NA,NEITHER AGREE NOR DISAGREE,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1955,119879.41732000001,54480
71,MALE,Heterosexual or straight,NA,NA,NOT LEGAL,PRETTY HAPPY,NA,NA,YES,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,BLACK,NA,NA,1947,119879.41732000001,NA
67,FEMALE,NA,27,NA,NA,NOT TOO HAPPY,NA,ONCE A MONTH,NA,NEITHER,NA,NA,SOMEWHAT LIKELY,STRONGLY AGREE,Very interested,AGREE,NOT VERY HAPPY,NEITHER AGREE NOR DISAGREE,DISAGREE,NEITHER AGREE NOR DISAGREE,DISAGREE,AGREE,NA,NA,NA,NA,WHITE,NA,NA,1951,NA,NA
59,FEMALE,NA,18,NA,LEGAL,PRETTY HAPPY,NA,NA,YES,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLACK,NA,NA,1959,8512.5,8512.5
43,MALE,Heterosexual or straight,NA,TOO LITTLE,LEGAL,PRETTY HAPPY,NA,NA,NO,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1975,24970,17025
62,FEMALE,Heterosexual or straight,17,TOO LITTLE,LEGAL,NOT TOO HAPPY,NA,NEVER,NO,NA,STRONGLY FOR,SOMEWHAT UNLIKELY,NA,NA,Very interested,AGREE,FAIRLY HAPPY,STRONGLY AGREE,DISAGREE,DISAGREE,DISAGREE,NEITHER AGREE NOR DISAGREE,NO,NA,NO,NA,WHITE,NA,NA,1956,2497,908
55,MALE,Heterosexual or straight,30,NA,LEGAL,PRETTY HAPPY,PRETTY HAPPY,SEV TIMES A YEAR,YES,NA,NA,NA,SOMEWHAT LIKELY,NEITHER AGREE NOR DISAGREE,NA,AGREE,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1963,45400,45400
59,MALE,NA,30,NA,NA,PRETTY HAPPY,NA,SEV TIMES A MNTH,NA,NEITHER,NA,NA,VERY UNLIKELY,DISAGREE,Very interested,DISAGREE,VERY HAPPY,AGREE,DISAGREE,DISAGREE,STRONGLY DISAGREE,AGREE,NA,NA,NA,NA,WHITE,NA,NA,1959,72640,54480
34,FEMALE,Heterosexual or straight,20,NA,NA,PRETTY HAPPY,NA,SEV TIMES A YEAR,NO,NA,NA,NA,SOMEWHAT LIKELY,AGREE,NA,DISAGREE,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,OTHER,NA,NA,1984,9647.5,8512.5
61,FEMALE,NA,20,TOO LITTLE,NA,NOT TOO HAPPY,NA,NEVER,NA,NEITHER,STRONGLY FOR,SOMEWHAT UNLIKELY,NA,NA,Moderately interested,DISAGREE,FAIRLY HAPPY,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,NA,NA,NA,NA,WHITE,NA,NA,1957,10782.5,NA
44,MALE,Heterosexual or straight,34,NA,LEGAL,VERY HAPPY,VERY HAPPY,NA,NO,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,BLACK,A U.S. Citizen,NA,1974,54480,45400
