date,id,poc,pm2.5,daily_aqi,site_name,aqs_parameter_desc,cbsa_code,cbsa_name,county
1/1/21,190130009,1,15.1,57,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
1/4/21,190130009,1,13.3,54,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
1/7/21,190130009,1,20.5,69,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
1/10/21,190130009,1,14.3,56,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
1/13/21,190130009,1,13.7,54,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
1/16/21,190130009,1,5.3,22,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
1/19/21,190130009,1,7.4,31,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
1/22/21,190130009,1,4.5,19,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
1/25/21,190130009,1,9.2,38,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
1/28/21,190130009,1,17.8,63,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
1/31/21,190130009,1,7.4,31,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
2/3/21,190130009,1,21,70,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
2/6/21,190130009,1,3.7,15,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
2/9/21,190130009,1,12.4,52,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
2/12/21,190130009,1,8.8,37,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
2/15/21,190130009,1,6.4,27,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
2/18/21,190130009,1,28.3,85,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
2/21/21,190130009,1,25.2,79,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
2/24/21,190130009,1,6.3,26,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
2/27/21,190130009,1,15.3,58,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
3/2/21,190130009,1,9.3,39,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
3/5/21,190130009,1,10.4,43,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
3/8/21,190130009,1,9.1,38,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
3/11/21,190130009,1,3.3,14,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
3/14/21,190130009,1,5.8,24,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
3/17/21,190130009,1,13.4,54,Water Tower,PM2.5 - Local Conditions,47940,"Waterloo-Cedar Falls, IA",Black Hawk
