id,hour,day,month,price,temperature,distance,surge_multiplier,humidity
fabc76b9-d789-4adf-ad5f-5127bbde8736,4,2,12,22.5,36.95,1.89,1,0.86
0a813889-b4ee-4fa6-b579-0e697316bcab,16,15,12,11,51.84,1.26,1,0.8
da09cc51-5c75-49b4-9891-4a2cbfd77bff,20,27,11,42.5,43.02,4.46,1,0.69
2a83e845-bb2e-474f-ba97-9e88bf18666b,11,16,12,25,40.13,1.64,1,0.74
882ad286-8655-441c-b5a2-fc8788dfda3b,7,29,11,28,38.8,1.61,1,0.68
8cc45714-3b71-4acb-808b-7c7d7a368e41,4,18,12,5,37.21,1,1,0.69
3570d843-d88c-4715-96d2-5af1fc831eb9,13,2,12,11.5,43.57,2.62,1,0.92
86cc50d9-b097-459d-8912-466298a23fe9,9,30,11,16.5,30.04,1.21,1,0.85
04815dc5-1c30-496e-96f1-9358cbd8a5fe,0,4,12,30.5,46.36,2.33,1,0.57
b5bd9c0c-b22d-4967-ada6-75440aa55243,18,3,12,9.5,54.62,2.88,1,0.51
5504b1e3-14a7-4785-8ae3-ffe0ccdbc663,15,1,12,7,39.33,0.63,1,0.62
8cff0915-3a5e-4f51-9309-436935f6059d,3,4,12,3.5,45.16,1.36,1,0.6
ffdd0b3d-7a82-4f97-b0ba-d5a82364af1f,1,4,12,10.5,45.96,2.92,1,0.61
780eecc4-95ab-4d8d-9111-ee255ad3fdff,14,18,12,11.5,26.47,2.62,1,0.46
22bbad01-9966-4d5a-b791-2feb37b179c5,16,18,12,22.5,28.58,2.36,1,0.44
ecf289df-9f7b-4044-90cc-3b2ea6fbd15a,23,29,11,33.5,40.29,2.59,1,0.59
3fc884e0-df7e-4647-a6f4-d5dbc26c25d9,20,16,12,31.5,42.85,2.79,1,0.73
1b79b1b9-701d-425d-9f5d-92476831a84e,18,13,12,9.5,32.67,3.2,1,0.53
460db309-1f04-403c-8f7a-b976b1508228,5,4,12,3,41.47,0.63,1,0.64
f78c090b-17be-4afb-aebf-aa38e60fa718,11,16,12,7,40.13,3.15,1,0.74
4cb8bc11-68ee-4a15-900e-ca059658a024,18,16,12,24.5,42.82,3.3,1,0.77
370bef2f-923c-4f10-8456-29f22fa07d69,0,16,12,10.5,43.96,2.62,1,0.68
3b18e3f3-6ad0-4716-87a2-62d91ffeb964,4,15,12,31,43.94,2.98,1,0.95
a882ecff-210e-4b52-a563-90c35091120d,11,1,12,45.5,32.31,3.25,1.25,0.79
6267bf6d-0565-4524-bb87-0ebd65abeb8c,10,15,12,12.5,46.59,1.11,1,0.88
287bba0f-8852-423f-ac05-78563cae03fb,23,27,11,16.5,40.38,2.67,1,0.71
9e04c63d-bd76-4628-8f12-a1e6c2fa5d82,10,13,12,7,20.38,1.01,1,0.66
3beba6a1-5ef8-4a68-a5a5-c95af6ed1241,21,3,12,16,50.43,2.46,1,0.5
e193fafd-7544-4323-843f-26f0b64756e1,17,30,11,10.5,41.46,2.27,1,0.57
95dd77ae-b3bf-4b9e-8b1d-88b24b32aaa5,20,28,11,14,41.91,1.49,1,0.6
4e9b5d11-d8c3-4365-b34d-d943e640c21e,8,29,11,27.5,38.61,1.46,1,0.68
5de7e33f-5dcc-4b7c-abd2-c81143153c77,15,28,11,16.5,41.24,2.46,1,0.6
e37f207b-22e3-4cdb-b969-21e6cd462848,7,18,12,3,31.71,2.52,1,0.61
4146dab6-2679-4a3b-8f81-8a2d38d49612,13,17,12,22,35.19,2.34,1,0.89
a665c9d0-e2bf-4075-8dff-5b9ddb0bd009,10,17,12,9,35.45,2.15,1,0.94
68dc7de5-9ba0-4358-9927-2592a4b7484f,22,28,11,21.5,40.43,2.66,1,0.64
e6bbf8d9-3e4b-470a-ab62-f3aa2fb3173a,7,18,12,14,31.71,2.21,1,0.61
51962006-9b58-4ea2-92d5-18645d67da86,7,17,12,16.5,38.41,1.73,1,0.91
f3e10bd7-99d1-4f40-8106-72f4637584f2,18,29,11,13,43.65,1.11,1,0.52
5e6e4dfb-d5f3-46d6-af36-46824f70ba11,8,27,11,8,44.29,1.07,1,0.92
f1e8693a-4c4b-4cc0-abc9-a9fea0dde189,21,2,12,27.5,52.1,1.03,1,0.95
7b15a665-6b0c-460a-833b-3a7e9d256811,6,13,12,16.5,19.28,2.84,1,0.57
