name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Auburn University,Alabama,54400,104500,51,31,Public,4 Year,13332,11276,24608,30524,43856
University of Alabama in Huntsville,Alabama,57500,103900,59,45,Public,4 Year,10094,10714,20808,22362,32456
Tuskegee University,Alabama,54500,93500,61,30,Private,4 Year,9650,22170,31820,22170,31820
Samford University,Alabama,48400,90500,52,3,Private,4 Year,10550,31650,42200,31650,42200
Spring Hill College,Alabama,46600,89100,53,12,Private,4 Year,13462,39464,52926,39464,52926
Birmingham Southern College,Alabama,49100,88300,48,27,Private,4 Year,12350,17650,30000,17650,30000
University of Alabama at Birmingham,Alabama,48600,87200,57,17,Public,4 Year,6400,10710,17110,24630,31030
University of South Alabama,Alabama,47700,86400,56,17,Public,4 Year,9200,10370,19570,18680,27880
University of South Alabama,Alabama,47700,86400,56,17,Public,4 Year,7620,9870,17490,19740,27360
Troy University,Alabama,44500,81500,60,8,Public,4 Year,8185,12460,20645,22875,31060
Jacksonville State University,Alabama,43800,80000,61,7,Public,4 Year,8100,10425,18525,20145,28245
Auburn University at Montgomery,Alabama,45000,79600,61,12,Public,4 Year,6980,10288,17268,22048,29028
Huntingdon College,Alabama,42400,78900,69,14,Private,4 Year,9750,27400,37150,27400,37150
Oakwood University,Alabama,43500,78800,71,16,Private,4 Year,9312,16720,26032,16720,26032
University of West Alabama,Alabama,42700,76100,61,4,Public,4 Year,8116,10040,18156,18490,26606
University of North Alabama,Alabama,43000,75600,61,6,Public,4 Year,9200,10370,19570,18680,27880
University of North Alabama,Alabama,43000,75600,61,6,Public,4 Year,7620,9870,17490,19740,27360
University of Mobile,Alabama,40600,74100,77,7,Private,4 Year,9600,22820,32420,22820,32420
Alabama State University,Alabama,39800,71500,61,16,Public,4 Year,5422,11068,16490,19396,24818
Faulkner University,Alabama,39400,71300,61,2,Private,4 Year,7750,21690,29440,21690,29440
University of Montevallo,Alabama,38900,70700,49,7,Public,4 Year,9330,12760,22090,25780,35110
Judson College,Alabama,37900,67600,65,13,Private,4 Year,10590,18510,29100,18510,29100
Miles College,Alabama,34800,65100,64,19,Private,4 Year,7042,11604,18646,11604,18646
University of Alaska Fairbanks,Alaska,59100,101800,54,20,Public,4 Year,8930,8087,17017,24257,33187
University of Alaska Anchorage,Alaska,56000,101000,57,10,Public,4 Year,12200,7688,19888,23858,36058
Alaska Pacific University,Alaska,50300,90000,67,6,Private,4 Year,7300,20830,28130,20830,28130
University of Arizona,Arizona,56100,101000,51,23,Public,4 Year,12550,12487,25037,36386,48936
Northern Arizona University,Arizona,49600,90000,56,12,Public,4 Year,10282,11564,21846,25828,36110
Prescott College,Arizona,41200,73500,69,0,Private,4 Year,7700,31485,39185,31485,39185
University of Arkansas,Arkansas,52500,98000,49,18,Public,4 Year,11020,9130,20150,25168,36188
Hendrix College,Arkansas,48100,90300,58,33,Private,4 Year,12284,45790,58074,45790,58074
Harding University,Arkansas,49200,88600,47,10,Private,4 Year,7044,20135,27179,20135,27179
John Brown University,Arkansas,47000,82700,53,9,Private,4 Year,9224,26928,36152,26928,36152
University of Arkansas at Little Rock,Arkansas,45600,80800,55,13,Public,4 Year,8930,8966,17896,21206,30136
Ouachita Baptist University,Arkansas,44100,80200,58,18,Private,4 Year,7880,26790,34670,26790,34670
Henderson State University,Arkansas,42900,79800,57,5,Public,4 Year,7504,8436,15940,10086,17590
University of Central Arkansas,Arkansas,44900,79800,52,8,Public,4 Year,6854,8751,15605,15274,22128
University of Arkansas at Monticello,Arkansas,43500,78300,61,2,Public,4 Year,6824,7696,14520,13546,20370
Arkansas Tech University,Arkansas,45000,76900,54,7,Public,4 Year,7870,9068,16938,15848,23718
University of the Ozarks,Arkansas,42300,74500,58,16,Private,4 Year,7400,24230,31630,24230,31630
Lyon College,Arkansas,41200,74300,53,33,Private,4 Year,9130,28790,37920,28790,37920
University of Arkansas at Pine Bluff,Arkansas,40500,70500,67,22,Public,4 Year,7881,7842,15723,14094,21975
Harvey Mudd College,California,88800,158200,55,85,Private,4 Year,18127,56876,75003,56876,75003
California Institute of Technology,California,84100,151600,53,97,Private,4 Year,15525,52362,67887,52362,67887
Stanford University,California,79000,145200,56,51,Private,4 Year,15763,51354,67117,51354,67117
Santa Clara University,California,69900,134700,44,29,Private,4 Year,14910,51711,66621,51711,66621
University of California-Berkeley,California,70700,131800,49,36,Public,4 Year,16160,14184,30344,43176,59336
Claremont McKenna College,California,68500,125400,43,16,Private,4 Year,16705,54405,71110,54405,71110
University of California-San Diego,California,63400,123700,52,58,Public,4 Year,12362,14199,26561,43191,55553
University of Southern California,California,64500,120600,47,23,Private,4 Year,15395,56225,71620,56225,71620
California Polytechnic State University-San Luis Obispo,California,65600,119500,51,38,Public,4 Year,13796,9816,23612,21696,35492
Pomona College,California,63800,117200,47,37,Private,4 Year,16716,52780,69496,52780,69496
University of California-Santa Barbara,California,59700,116300,47,29,Public,4 Year,15273,14424,29697,43416,58689
University of California-Los Angeles,California,62000,116100,48,31,Public,4 Year,15816,13774,29590,42766,58582
University of California-Irvine,California,59600,116000,49,34,Public,4 Year,15263,15614,30877,44606,59869
San Jose State University,California,63000,114700,53,28,Public,4 Year,16442,7796,24238,17300,33742
Loyola Marymount University,California,58500,113300,39,9,Private,4 Year,14490,48522,63012,48522,63012
University of California-Davis,California,61500,112600,52,35,Public,4 Year,16211,14463,30674,43458,59669
Menlo College,California,61900,112400,59,0,Private,4 Year,14225,42800,57025,42800,57025
California State Polytechnic University-Pomona,California,57700,110800,50,30,Public,4 Year,17358,7353,24711,19233,36591
Saint Mary's College of California,California,59900,110800,51,5,Private,4 Year,15370,47280,62650,47280,62650
University of San Francisco,California,60600,109900,52,6,Private,4 Year,14830,48066,62896,48066,62896
University of San Diego,California,58900,109400,48,12,Private,4 Year,12980,49358,62338,49358,62338
Colorado School of Mines,Colorado,75600,139600,60,93,Public,4 Year,13169,18964,32133,38584,51753
University of Colorado Boulder,Colorado,57800,109900,48,39,Public,4 Year,14418,12532,26950,37286,51704
University of Denver,Colorado,55700,105100,48,12,Private,4 Year,13005,50556,63561,50556,63561
Colorado College,Colorado,53100,97900,48,23,Private,4 Year,12512,55470,67982,55470,67982
Regis University,Colorado,55500,94800,58,13,Private,4 Year,11560,36810,48370,36810,48370
University of Colorado Colorado Springs,Colorado,52200,90900,53,21,Public,4 Year,10500,10463,20963,24893,35393
Colorado State University-Pueblo,Colorado,48100,87600,62,13,Public,4 Year,10470,10408,20878,26329,36799
University of Northern Colorado,Colorado,47700,87100,52,7,Public,4 Year,11204,9786,20990,21474,32678
Fort Lewis College,Colorado,48300,82600,55,19,Public,4 Year,9878,9040,18918,19696,29574
Western State Colorado University,Colorado,44800,81500,47,19,Public,4 Year,9635,10114,19749,21586,31221
Colorado Mesa University,Colorado,47800,81500,55,7,Public,4 Year,10925,9243,20168,22440,33365
Adams State University,Colorado,44400,81400,56,3,Public,4 Year,8782,9440,18222,20456,29238
Colorado Christian University,Colorado,46800,80100,70,2,Private,4 Year,11846,31866,43712,31866,43712
Johnson & Wales University-Denver,Colorado,41500,74800,39,0,Private,4 Year,12546,32091,44637,32091,44637
Yale University,Connecticut,70300,138300,53,22,Private,4 Year,16000,53430,69430,53430,69430
Wesleyan University,Connecticut,61600,117000,53,21,Private,4 Year,15060,54914,69974,54914,69974
Fairfield University,Connecticut,62300,116900,41,17,Private,4 Year,14710,48350,63060,48350,63060
Trinity College,Connecticut,60100,110900,49,22,Private,4 Year,14750,56910,71660,56910,71660
University of Connecticut,Connecticut,59100,105200,48,24,Public,4 Year,12874,15730,28604,38098,50972
University of Hartford,Connecticut,55200,101600,53,15,Private,4 Year,12476,40694,53170,40694,53170
Connecticut College,Connecticut,57500,100800,36,30,Private,4 Year,15150,54820,69970,54820,69970
Sacred Heart University,Connecticut,55000,100500,46,15,Private,4 Year,15310,41420,56730,41420,56730
Quinnipiac University,Connecticut,55900,97700,46,10,Private,4 Year,14540,47960,62500,47960,62500
University of New Haven,Connecticut,52100,94800,52,25,Private,4 Year,15900,39270,55170,39270,55170
Central Connecticut State University,Connecticut,53100,93700,45,15,Public,4 Year,12176,10616,22792,21856,34032
University of Bridgeport,Connecticut,49900,93600,59,31,Private,4 Year,13860,32850,46710,32850,46710
University of Saint Joseph,Connecticut,49900,88800,63,9,Private,4 Year,11428,39173,50601,39173,50601
Western Connecticut State University,Connecticut,51700,88100,50,6,Public,4 Year,13560,11356,24916,22596,36156
Western Connecticut State University,Connecticut,51700,88100,50,6,Public,4 Year,13072,10819,23891,22059,35131
Eastern Connecticut State University,Connecticut,49200,87800,43,14,Public,4 Year,13560,11356,24916,22596,36156
Eastern Connecticut State University,Connecticut,49200,87800,43,14,Public,4 Year,13072,10819,23891,22059,35131
Albertus Magnus College,Connecticut,49700,85900,62,2,Private,4 Year,13200,32060,45260,32060,45260
Southern Connecticut State University,Connecticut,48500,83600,51,6,Public,4 Year,12860,10875,23735,22115,34975
University of Delaware,Delaware,58600,105400,43,22,Public,4 Year,12862,13680,26542,34310,47172
Goldey-Beacom College,Delaware,49800,86900,42,25,Private,4 Year,6400,24300,30700,24300,30700
Delaware State University,Delaware,46300,81900,62,10,Public,4 Year,12190,7868,20058,16904,29094
Wesley College,Delaware,45400,77300,50,2,Private,4 Year,11717,26406,38123,26406,38123
Florida Institute of Technology,Florida,58300,105400,53,48,Private,4 Year,12880,41850,54730,41850,54730
University of Florida,Florida,55800,102800,52,29,Public,4 Year,10120,6381,16501,28658,38778
University of Miami,Florida,56200,99600,48,22,Private,4 Year,14108,50226,64334,50226,64334
Florida State University,Florida,50800,92700,49,18,Public,4 Year,10816,6516,17332,21683,32499
Florida Atlantic University,Florida,49400,91200,51,15,Public,4 Year,11896,6039,17935,21595,33491
Jacksonville University,Florida,50100,90400,66,5,Private,4 Year,14080,36670,50750,36670,50750
Florida International University,Florida,49600,90100,51,16,Public,4 Year,10882,6558,17440,18956,29838
Adventist University of Health Sciences,Florida,51600,89800,88,5,Private,4 Year,4200,15150,19350,15150,19350
Nova Southeastern University,Florida,50200,89800,60,9,Private,4 Year,13250,30900,44150,30900,44150
University of Central Florida,Florida,49700,88600,50,16,Public,4 Year,9617,6368,15985,22467,32084
Eckerd College,Florida,49200,88400,52,25,Private,4 Year,12588,44540,57128,44540,57128
Rollins College,Florida,49000,87000,53,7,Private,4 Year,14735,49760,64495,49760,64495
University of North Florida,Florida,48800,86600,51,11,Public,4 Year,9976,6394,16370,20112,30088
University of North Florida,Florida,48800,86600,51,11,Public,4 Year,11610,6410,18020,17324,28934
New College of Florida,Florida,47300,86500,40,4,Public,4 Year,9264,6919,16183,29944,39208
Stetson University,Florida,47000,86000,44,7,Private,4 Year,13052,46030,59082,46030,59082
Lynn University,Florida,46100,85000,45,2,Private,4 Year,12170,38210,50380,38210,50380
Barry University,Florida,47400,84400,66,12,Private,4 Year,11100,29850,40950,29850,40950
Florida Agricultural and Mechanical University,Florida,48000,83900,62,8,Public,4 Year,10594,5827,16421,17768,28362
Emory University,Georgia,62000,110800,44,20,Private,4 Year,14456,51306,65762,51306,65762
University of Georgia,Georgia,54400,100700,45,14,Public,4 Year,10038,11830,21868,30404,40442
Morehouse College,Georgia,55700,98700,58,26,Private,4 Year,13438,27574,41012,27574,41012
Kennesaw State University,Georgia,52500,94600,46,22,Public,4 Year,11467,7432,18899,21158,32625
Oglethorpe University,Georgia,52400,91400,50,12,Private,4 Year,13200,38100,51300,38100,51300
Georgia State University,Georgia,50600,90800,47,18,Public,4 Year,11378,10858,22236,29432,40810
Georgia Southern University,Georgia,49000,88000,49,17,Public,4 Year,10070,7422,17492,20904,30974
University of North Georgia,Georgia,47300,85600,51,8,Public,4 Year,7876,7336,15212,21148,29024
Spelman College,Georgia,50200,85400,52,24,Private,4 Year,13865,29314,43179,29314,43179
Mercer University,Georgia,48500,85100,62,14,Private,4 Year,11616,36894,48510,36894,48510
Berry College,Georgia,44900,84900,44,21,Private,4 Year,12770,36556,49326,36556,49326
Augusta University,Georgia,47000,84400,69,10,Public,4 Year,9640,10758,20398,29796,39436
Agnes Scott College,Georgia,46000,83600,57,26,Private,4 Year,12330,41160,53490,41160,53490
University of West Georgia,Georgia,46700,82700,51,9,Public,4 Year,10918,7292,18210,20774,31692
Armstrong State University,Georgia,46600,81500,60,10,Public,4 Year,11385,6384,17769,19866,31251
Clayton  State University,Georgia,46400,81200,54,9,Public,4 Year,9994,6410,16404,19486,29480
Clark Atlanta University,Georgia,46300,81100,54,15,Private,4 Year,9524,23436,32960,23436,32960
