IDSTUD,ITBIRTHM,ITBIRTHY,ITSEX,ASDAGE,ASSSCI01,ASSEAR01,ASSLIF01,ASSPHY01,ASSKNO01,ASSAPP01,ASSREA01
10101,6,2005,2,9.92,504.5513,445.2919,408.2991,458.021,529.5136,519.7842,543.8187
10102,10,2005,2,9.58,400.6735,291.2442,323.3329,296.5886,379.1956,385.0167,372.996
10103,1,2005,1,10.33,542.067,440.0107,528.8448,529.4147,521.0647,538.5045,535.2791
10104,6,2005,2,9.92,544.1907,534.2964,551.7017,557.1893,538.3842,540.3896,535.3284
10105,6,2005,2,9.92,588.0062,555.3388,499.9448,559.4732,532.7365,503.0834,460.8084
10106,12,2005,1,9.42,582.6241,556.1076,585.3797,561.5692,526.2867,573.1294,513.5148
10107,10,2005,1,9.58,503.7587,532.2606,527.5388,563.3977,555.234,559.318,525.6022
10108,1,2005,2,10.33,624.8618,598.4733,592.2303,616.9385,605.249,599.2578,598.4919
10109,8,2005,2,9.75,397.9799,437.6063,450.9456,437.932,397.0545,409.3931,353.2455
10110,12,2004,1,10.42,571.6117,486.4145,578.8653,502.879,589.237,582.3774,568.1487
10111,9,2005,2,9.67,532.3565,362.2098,387.0863,401.538,470.125,498.3277,465.1507
10112,12,2005,1,9.42,523.0056,443.0501,501.673,410.383,458.1778,462.4134,451.6792
10113,1,2005,1,10.33,599.404,533.9179,594.7303,511.6397,613.9789,603.7819,605.9533
10114,10,2005,2,9.58,546.5214,483.076,519.5564,500.1166,515.885,504.56,528.8156
10115,3,2005,2,10.17,609.158,478.478,529.0718,487.5171,665.985,614.1939,616.0449
10116,6,2005,2,9.92,548.9298,512.3329,503.7454,485.8802,587.0553,576.4627,587.5264
10117,1,2005,1,10.33,473.5901,530.54,517.8351,519.6608,415.8376,473.1262,498.5597
10118,1,2005,1,10.33,608.449,564.3217,577.503,561.2882,618.8869,581.9788,525.5833
10119,12,2004,1,10.42,469.6161,468.6083,493.9686,476.1892,409.8245,487.0413,485.633
10120,6,2005,1,9.92,484.1278,472.8643,487.4532,516.1401,503.265,499.3632,503.9525
10201,2,2005,1,10.25,564.7792,609.7818,615.1076,642.3165,573.2199,570.7056,571.5188
10202,7,2005,2,9.83,608.9103,578.8926,619.6718,539.0238,657.1061,643.0421,598.6448
10203,9,2005,1,9.67,594.7301,438.8795,528.3458,486.1645,580.6055,617.6602,570.1249
10204,1,2005,2,10.33,403.248,245.9066,249.5638,264.3487,259.4363,292.89,289.0298
10205,9,2005,1,9.67,537.924,581.2393,569.4535,538.1402,588.9805,565.707,546.7165
10206,7,2005,2,9.83,600.8658,645.116,670.323,696.0135,613.4194,593.1841,590.7236
10207,5,2008,2,7,406.2024,362.4146,416.9554,438.2424,441.3457,434.3897,475.9117
10208,7,2005,2,9.83,459.4927,447.0147,508.9197,514.7522,515.7496,509.5834,514.9923
10209,6,2005,2,9.92,586.3095,580.4652,606.7022,569.6611,587.0616,560.1126,572.9227
10210,12,2004,2,10.42,616.6847,635.8459,606.3262,539.0575,617.0179,587.2667,593.1964
10211,9,2005,2,9.67,589.4656,443.5117,560.0728,492.072,597.4725,597.946,622.9633
10212,4,2005,2,10.08,591.1509,609.5988,595.5792,596.4044,651.1037,625.553,583.44
10213,9,2005,1,9.67,462.4161,403.7233,468.0383,426.6706,455.769,447.2779,469.1725
10214,10,2006,2,8.58,494.7478,545.2549,542.6826,542.7877,597.9194,601.815,592.048
10215,11,2005,1,9.5,584.6624,450.9325,520.3472,486.8214,596.9838,564.3358,585.6032
10216,4,2005,1,10.08,538.2331,453.3735,482.9308,430.2862,485.8207,492.1098,526.4065
10217,2,2005,2,10.25,511.7015,397.2804,409.7642,426.864,471.3763,456.9262,415.0701
10218,8,2005,2,9.75,476.1385,412.1904,419.6159,438.0489,393.4512,388.9079,410.3666
10219,8,2005,1,9.75,578.9367,553.4458,586.4139,502.8184,620.6924,571.6589,602.6427
10220,9,2005,1,9.67,431.8717,381.042,440.372,433.2166,408.0614,422.5007,427.8549
20401,12,2004,2,10.42,472.9912,383.5702,439.7661,388.0134,530.6462,525.6866,571.4351
20402,8,2004,2,10.75,498.3234,444.6344,394.4912,411.7278,515.6885,518.083,508.2095
20403,5,2005,1,10,544.5527,537.9231,623.2406,504.0749,491.9231,492.5277,480.5302
20404,12,2004,2,10.42,386.8162,368.5515,420.2497,413.9151,492.1391,485.0209,478.0255
20405,11,2004,1,10.5,586.1377,583.4347,626.6714,575.5864,666.853,653.948,650.0787
20406,1,2005,2,10.33,633.6479,586.9644,603.4729,603.6267,626.6963,625.1176,614.454
20408,6,2004,2,10.92,543.3913,439.9598,481.7277,463.4715,481.9722,493.4533,503.866
20409,3,2005,1,10.17,573.5316,598.9334,613.4793,611.4316,540.5034,530.3565,555.3138
20410,7,2005,1,9.83,492.7333,432.382,522.8829,498.1203,483.7157,510.3625,531.9344
20412,9,2004,2,10.67,583.2387,528.3045,495.5938,534.0957,546.8081,553.4243,546.8594
20413,7,2005,1,9.83,526.1638,435.6854,442.8276,491.6441,544.8319,524.7955,540.3717
20415,6,2005,2,9.92,546.5823,529.1843,567.711,570.1716,564.7754,616.5049,582.2636
20416,7,2005,1,9.83,574.3696,559.2355,591.2086,545.9221,599.946,585.9791,633.4517
20417,8,2004,1,10.75,456.2827,448.5184,530.4689,445.9627,463.4924,445.1259,469.2812
20418,12,2004,2,10.42,613.2878,644.2919,649.798,632.8924,607.6303,595.0032,582.5102
20419,4,2005,1,10.08,513.1023,472.0554,493.0244,417.0851,475.5657,446.6196,495.9774
20420,5,2005,2,10,543.4234,601.0746,629.7128,632.4124,546.1654,555.1522,511.8164
20421,3,2005,1,10.17,638.9246,627.7811,648.0342,644.3278,691.9323,659.1634,634.6749
20801,9,2004,2,10.67,614.571,634.6939,626.5614,601.7554,634,597.6975,560.6616
20802,12,2004,2,10.42,559.6691,662.4381,647.6463,691.5534,675.3225,682.3264,689.427
20803,9,2004,1,10.67,619.4635,623.5473,611.2415,591.7472,630.7275,607.7661,635.5636
20804,10,2004,2,10.58,765.3397,755.2795,739.9373,710.4557,677.7954,633.1081,645.3566
20805,5,2005,2,10,574.3522,572.4036,590.8932,603.7648,651.5769,589.1629,599.1684
20806,8,2005,2,9.75,628.7687,531.857,609.6313,568.7931,656.0411,624.141,635.1927
20807,3,2005,2,10.17,629.2906,622.3965,605.7011,614.6497,681.6373,695.2929,631.1271
20808,8,2005,1,9.75,639.7841,526.3153,631.6335,559.0071,630.0268,594.4859,598.9976
20809,8,2005,1,9.75,623.3148,614.6651,616.0299,633.1722,709.3694,683.1666,668.0846
20810,7,2005,1,9.83,584.8497,632.4614,660.7736,628.5302,575.5674,587.2662,582.0829
20811,12,2004,2,10.42,618.4789,563.9605,605.6273,573.4899,693.7385,654.8071,639.5219
20812,8,2005,1,9.75,691.2576,749.0305,706.3077,689.3549,586.4187,564.5288,579.7649
20813,4,2005,1,10.08,651.6465,602.7214,633.7306,575.2291,619.2815,607.424,618.6743
20814,12,2004,2,10.42,614.4045,693.8409,712.5628,626.3638,627.8876,649.5775,612.357
20815,9,2004,1,10.67,627.8366,600.959,596.0436,587.1562,652.4371,619.8271,626.7358
20816,6,2005,1,9.92,586.0115,633.9673,593.2879,623.6428,657.0597,569.5635,581.4061
30401,10,2004,2,10.5,665.7538,599.4153,710.4365,613.2446,625.3153,601.4038,576.5694
30402,12,2003,2,11.33,531.5133,603.5063,547.3836,584.9748,613.4833,595.7194,622.0168
30405,10,2004,2,10.5,540.9657,554.6376,508.9544,521.0884,540.7879,532.2012,523.5692
30406,10,2004,2,10.5,499.422,471.1894,475.1565,517.7387,463.6396,471.0371,479.7396
30407,11,2003,2,11.42,501.3418,565.0601,553.7158,558.5532,623.9704,539.5776,582.232
30408,6,2005,1,9.83,631.6695,656.6868,638.2257,616.0258,648.7502,602.8335,656.4352
30409,8,2005,2,9.67,572.8478,573.1074,563.8559,529.5034,559.4076,553.7319,553.0886
30410,5,2005,1,9.92,466.4501,479.5732,511.6692,521.8023,486.6961,489.654,551.1142
30411,4,2005,2,10,547.0303,566.0362,598.6826,637.2856,629.7445,604.8811,624.3478
30412,8,2004,2,10.67,550.6511,599.5868,583.8987,594.5874,575.6936,590.9243,566.7882
30413,8,2004,2,10.67,517.6001,485.535,545.2296,510.6137,525.0632,540.2401,532.0948
30414,10,2005,2,9.5,462.7409,470.8699,446.5413,498.5886,473.5411,484.3406,461.6954
30415,11,2004,1,10.42,536.4343,540.8335,537.6086,499.727,489.2886,494.2098,508.1809
30416,7,2005,1,9.75,554.3958,623.3841,599.5593,578.9446,615.308,635.2674,621.3165
30417,10,2005,2,9.5,595.675,585.2099,596.1395,589.3243,516.563,558.0583,539.3846
30418,12,2003,2,11.33,411.9278,437.7473,457.1395,491.5672,398.8927,428.6802,410.2726
30701,9,2004,1,10.58,713.3973,621.5163,644.1382,615.3333,687.7353,650.2191,657.2503
30702,4,2005,2,10,504.7558,416.6798,504.8077,485.0531,521.8482,526.1347,502.8907
30703,12,2004,2,10.33,523.5884,408.9604,461.5696,461.4579,503.153,488.5509,481.2024
30704,2,2005,2,10.17,518.5356,440.077,525.8522,512.4471,561.7909,583.0419,575.56
30705,8,2003,2,11.67,586.4794,488.3483,566.1346,499.1683,586.6495,522.9179,563.7168
30706,4,2004,2,11,516.969,522.5082,548.0788,556.9172,570.3827,520.9813,525.6216
30707,8,2004,2,10.67,571.7935,564.1588,589.2909,578.9153,629.6189,585.1237,614.4872
30708,9,2004,1,10.58,484.8911,502.3844,457.7789,464.5388,461.7813,487.4034,508.3977
30709,11,2003,1,11.42,489.0878,374.7568,452.7741,439.2869,443.668,442.1708,450.4475
30710,11,2003,2,11.42,442.7735,426.8137,485.2889,471.945,439.1187,437.4668,439.2099
30711,2,2005,1,10.17,512.1134,573.7461,591.3906,560.7968,512.6052,485.112,532.2771
30713,1,2005,1,10.25,595.1909,634.2294,575.5603,636.0611,650.041,633.4017,586.0307
30715,1,2003,2,12.25,355.3008,268.0934,312.3273,330.7978,389.6748,371.9175,403.7955
30716,6,2005,1,9.83,577.3994,541.171,477.7311,515.4535,528.6635,534.9251,518.8981
30718,10,2004,2,10.5,688.6597,541.5603,606.8024,574.5342,649.5686,640.3355,610.7164
40201,11,2003,2,11.42,536.8712,511.0052,495.6255,510.8479,458.1983,474.2159,481.6509
40202,8,2005,1,9.67,568.0446,503.3278,554.7148,511.1122,551.4719,550.7355,536.1381
40203,5,2005,2,9.92,627.1273,514.4062,601.6968,589.9463,540.2745,548.8302,548.5911
40204,9,2004,1,10.58,548.5597,586.7859,551.9928,541.8796,579.3795,572.6954,603.396
40206,7,2005,1,9.75,560.396,487.1084,520.7295,502.9226,533.7516,511.4592,529.6607
40207,3,2005,1,10.08,446.3443,458.1933,482.3413,425.7618,464.6395,482.1284,468.7933
40208,2,2005,1,10.17,494.3938,445.9266,492.0447,493.8816,527.6962,527.3639,543.3278
40209,10,2004,2,10.5,569.7136,492.2851,596.1315,522.8447,582.0054,581.5175,590.6133
40210,1,2004,1,11.25,402.0051,369.3702,450.2673,439.335,536.3036,504.838,504.7116
40211,12,2004,1,10.33,654.389,597.1035,599.8076,584.8461,609.8093,620.566,606.501
40212,9,2004,2,10.58,595.8498,612.6699,652.4752,609.2735,557.8566,536.9155,578.3164
40213,7,2005,2,9.75,567.1054,636.3233,594.5817,642.4734,550.8659,559.9246,575.7576
40214,3,2005,1,10.08,549.032,561.8768,572.1038,584.8195,531.9058,528.0995,531.4338
40215,9,2005,1,9.58,618.571,567.0971,603.199,555.0695,676.9728,660.8696,641.4341
40216,12,2004,2,10.33,489.6632,458.8916,475.1303,441.4541,397.3503,491.2836,410.0341
40217,7,2004,2,10.75,418.1211,485.3363,461.6312,492.1112,481.5807,491.222,465.7235
40218,9,2004,1,10.58,634.2223,670.2969,645.362,654.6035,642.032,582.1227,625.2068
40219,12,2004,2,10.33,610.177,628.0412,573.6767,596.3416,600.5152,586.643,595.0061
40220,9,2004,2,10.58,566.7669,595.1413,610.5636,602.5293,451.2117,476.3957,479.2769
40401,9,2004,1,10.58,620.2394,595.6064,592.8909,606.1378,623.1801,581.4351,591.2388
40402,1,2005,1,10.25,386.4427,351.243,450.3107,447.9533,398.1112,410.2287,443.8871
